,X,w,h,A,value,wp2,hp2,Ap2
118,96,184,122,22448,80,33856,14884,503912704
119,97,184,123,22632,80,33856,15129,512207424
120,98,188,123,23124,80,35344,15129,534719376
121,99,186,123,22878,80,34596,15129,523402884
122,100,186,123,22878,80,34596,15129,523402884
123,101,184,121,22264,80,33856,14641,495685696
124,102,186,119,22134,80,34596,14161,489913956
125,8,111,73,8103,120,12321,5329,65658609
126,9,111,73,8103,120,12321,5329,65658609
127,10,112,73,8176,120,12544,5329,66846976
128,11,112,73,8176,120,12544,5329,66846976
129,12,112,73,8176,120,12544,5329,66846976
130,13,112,73,8176,120,12544,5329,66846976
131,14,112,73,8176,120,12544,5329,66846976
132,15,112,73,8176,120,12544,5329,66846976
133,16,113,73,8249,120,12769,5329,68046001
134,17,114,73,8322,120,12996,5329,69255684
135,18,114,74,8436,120,12996,5476,71166096
136,19,114,73,8322,120,12996,5329,69255684
137,20,114,74,8436,120,12996,5476,71166096
138,21,114,74,8436,120,12996,5476,71166096
139,22,114,74,8436,120,12996,5476,71166096
140,23,112,74,8288,120,12544,5476,68690944
141,24,112,74,8288,120,12544,5476,68690944
142,25,114,74,8436,120,12996,5476,71166096
143,26,114,74,8436,120,12996,5476,71166096
144,27,114,74,8436,120,12996,5476,71166096
145,28,114,74,8436,120,12996,5476,71166096
146,29,114,74,8436,120,12996,5476,71166096
147,35,114,74,8436,120,12996,5476,71166096
148,36,114,74,8436,120,12996,5476,71166096
149,37,114,74,8436,120,12996,5476,71166096
150,38,114,74,8436,120,12996,5476,71166096
151,39,114,74,8436,120,12996,5476,71166096
152,40,114,74,8436,120,12996,5476,71166096
153,41,112,75,8400,120,12544,5625,70560000
154,42,112,74,8288,120,12544,5476,68690944
155,43,112,73,8176,120,12544,5329,66846976
156,54,112,74,8288,120,12544,5476,68690944
157,55,112,74,8288,120,12544,5476,68690944
158,56,112,75,8400,120,12544,5625,70560000
159,57,114,74,8436,120,12996,5476,71166096
160,1,86,56,4816,160,7396,3136,23193856
161,2,86,56,4816,160,7396,3136,23193856
162,3,84,55,4620,160,7056,3025,21344400
163,4,84,56,4704,160,7056,3136,22127616
164,5,84,56,4704,160,7056,3136,22127616
165,6,84,56,4704,160,7056,3136,22127616
166,7,84,56,4704,160,7056,3136,22127616
167,8,84,56,4704,160,7056,3136,22127616
168,9,84,56,4704,160,7056,3136,22127616
169,10,84,56,4704,160,7056,3136,22127616
170,11,84,54,4536,160,7056,2916,20575296
171,12,84,55,4620,160,7056,3025,21344400
172,13,86,55,4730,160,7396,3025,22372900
173,14,86,54,4644,160,7396,2916,21566736
174,15,84,55,4620,160,7056,3025,21344400
175,16,84,54,4536,160,7056,2916,20575296
176,17,84,54,4536,160,7056,2916,20575296
177,25,84,54,4536,160,7056,2916,20575296
178,26,84,55,4620,160,7056,3025,21344400
179,27,84,55,4620,160,7056,3025,21344400
180,28,84,55,4620,160,7056,3025,21344400
181,29,86,55,4730,160,7396,3025,22372900
182,30,86,56,4816,160,7396,3136,23193856
183,31,86,55,4730,160,7396,3025,22372900
184,32,86,56,4816,160,7396,3136,23193856
185,33,86,56,4816,160,7396,3136,23193856
186,34,86,55,4730,160,7396,3025,22372900
187,1,68,44,2992,200,4624,1936,8952064
188,2,66,44,2904,200,4356,1936,8433216
189,3,66,44,2904,200,4356,1936,8433216
190,4,66,44,2904,200,4356,1936,8433216
191,5,66,43,2838,200,4356,1849,8054244
192,6,68,44,2992,200,4624,1936,8952064
193,7,68,44,2992,200,4624,1936,8952064
194,8,68,44,2992,200,4624,1936,8952064
195,9,68,44,2992,200,4624,1936,8952064
196,10,66,42,2772,200,4356,1764,7683984
197,11,66,44,2904,200,4356,1936,8433216
198,12,66,42,2772,200,4356,1764,7683984
199,13,66,42,2772,200,4356,1764,7683984
200,14,66,43,2838,200,4356,1849,8054244
201,15,68,44,2992,200,4624,1936,8952064
202,16,68,43,2924,200,4624,1849,8549776
203,17,66,44,2904,200,4356,1936,8433216
204,18,66,42,2772,200,4356,1764,7683984
205,19,66,43,2838,200,4356,1849,8054244
206,20,66,43,2838,200,4356,1849,8054244
207,21,66,42,2772,200,4356,1764,7683984
208,22,66,43,2838,200,4356,1849,8054244
209,23,68,44,2992,200,4624,1936,8952064
210,24,66,44,2904,200,4356,1936,8433216
211,25,66,43,2838,200,4356,1849,8054244
212,26,66,42,2772,200,4356,1764,7683984
213,27,68,44,2992,200,4624,1936,8952064
214,28,66,41,2706,200,4356,1681,7322436
215,29,66,43,2838,200,4356,1849,8054244
216,30,66,42,2772,200,4356,1764,7683984
217,31,66,43,2838,200,4356,1849,8054244
218,32,68,43,2924,200,4624,1849,8549776
219,33,66,43,2838,200,4356,1849,8054244
220,34,66,44,2904,200,4356,1936,8433216
221,35,66,42,2772,200,4356,1764,7683984
222,36,68,44,2992,200,4624,1936,8952064
223,37,68,44,2992,200,4624,1936,8952064
224,38,68,44,2992,200,4624,1936,8952064
225,39,68,45,3060,200,4624,2025,9363600
226,40,68,45,3060,200,4624,2025,9363600
227,41,68,44,2992,200,4624,1936,8952064
228,42,68,42,2856,200,4624,1764,8156736
229,43,70,42,2940,200,4900,1764,8643600
230,44,68,43,2924,200,4624,1849,8549776
231,45,70,43,3010,200,4900,1849,9060100
232,46,68,41,2788,200,4624,1681,7772944
233,47,68,44,2992,200,4624,1936,8952064
234,2,56,36,2016,240,3136,1296,4064256
235,3,56,36,2016,240,3136,1296,4064256
236,9,56,37,2072,240,3136,1369,4293184
237,10,56,35,1960,240,3136,1225,3841600
238,11,56,37,2072,240,3136,1369,4293184
239,12,56,37,2072,240,3136,1369,4293184
240,13,56,35,1960,240,3136,1225,3841600
241,14,56,37,2072,240,3136,1369,4293184
242,15,58,37,2146,240,3364,1369,4605316
243,16,58,37,2146,240,3364,1369,4605316
244,17,58,37,2146,240,3364,1369,4605316
245,18,58,37,2146,240,3364,1369,4605316
246,19,58,37,2146,240,3364,1369,4605316
247,20,58,37,2146,240,3364,1369,4605316
248,21,58,37,2146,240,3364,1369,4605316
249,22,58,37,2146,240,3364,1369,4605316
250,23,58,37,2146,240,3364,1369,4605316
251,24,58,37,2146,240,3364,1369,4605316
252,25,56,35,1960,240,3136,1225,3841600
253,26,56,37,2072,240,3136,1369,4293184
254,27,56,35,1960,240,3136,1225,3841600
255,28,56,37,2072,240,3136,1369,4293184
256,29,56,37,2072,240,3136,1369,4293184
257,30,56,36,2016,240,3136,1296,4064256
258,31,56,36,2016,240,3136,1296,4064256
259,32,56,37,2072,240,3136,1369,4293184
260,33,56,35,1960,240,3136,1225,3841600
261,34,56,35,1960,240,3136,1225,3841600
262,35,56,36,2016,240,3136,1296,4064256
263,36,56,37,2072,240,3136,1369,4293184
264,37,56,35,1960,240,3136,1225,3841600
265,38,56,37,2072,240,3136,1369,4293184
266,39,58,37,2146,240,3364,1369,4605316
267,40,56,36,2016,240,3136,1296,4064256
268,41,56,35,1960,240,3136,1225,3841600
269,42,56,37,2072,240,3136,1369,4293184
270,43,56,35,1960,240,3136,1225,3841600
271,44,56,36,2016,240,3136,1296,4064256
272,45,56,36,2016,240,3136,1296,4064256
273,47,56,35,1960,240,3136,1225,3841600
274,48,56,36,2016,240,3136,1296,4064256
275,49,56,37,2072,240,3136,1369,4293184
276,50,56,37,2072,240,3136,1369,4293184
277,51,56,36,2016,240,3136,1296,4064256
278,52,56,38,2128,240,3136,1444,4528384
279,1,48,30,1440,280,2304,900,2073600
280,2,48,30,1440,280,2304,900,2073600
281,3,48,30,1440,280,2304,900,2073600
282,4,48,30,1440,280,2304,900,2073600
283,5,48,30,1440,280,2304,900,2073600
284,6,48,30,1440,280,2304,900,2073600
285,7,48,31,1488,280,2304,961,2214144
286,8,48,31,1488,280,2304,961,2214144
287,9,46,31,1426,280,2116,961,2033476
288,10,48,31,1488,280,2304,961,2214144
289,11,48,31,1488,280,2304,961,2214144
290,12,46,31,1426,280,2116,961,2033476
291,13,48,31,1488,280,2304,961,2214144
292,14,46,32,1472,280,2116,1024,2166784
293,15,46,31,1426,280,2116,961,2033476
294,16,46,31,1426,280,2116,961,2033476
295,17,46,31,1426,280,2116,961,2033476
296,18,46,31,1426,280,2116,961,2033476
297,19,46,31,1426,280,2116,961,2033476
298,20,48,31,1488,280,2304,961,2214144
299,21,48,31,1488,280,2304,961,2214144
300,22,48,31,1488,280,2304,961,2214144
301,23,48,30,1440,280,2304,900,2073600
302,24,48,29,1392,280,2304,841,1937664
303,25,48,29,1392,280,2304,841,1937664
304,26,48,31,1488,280,2304,961,2214144
305,27,48,31,1488,280,2304,961,2214144
306,28,48,31,1488,280,2304,961,2214144
307,29,48,30,1440,280,2304,900,2073600
308,30,48,31,1488,280,2304,961,2214144
309,31,48,29,1392,280,2304,841,1937664
310,32,48,31,1488,280,2304,961,2214144
311,1,40,26,1040,320,1600,676,1081600
312,2,40,26,1040,320,1600,676,1081600
313,3,40,26,1040,320,1600,676,1081600
314,4,40,26,1040,320,1600,676,1081600
315,5,40,26,1040,320,1600,676,1081600
316,6,40,26,1040,320,1600,676,1081600
317,7,40,26,1040,320,1600,676,1081600
318,8,40,26,1040,320,1600,676,1081600
319,9,40,26,1040,320,1600,676,1081600
320,10,40,26,1040,320,1600,676,1081600
321,11,40,26,1040,320,1600,676,1081600
322,12,40,26,1040,320,1600,676,1081600
323,13,40,26,1040,320,1600,676,1081600
324,14,42,25,1050,320,1764,625,1102500
325,15,42,26,1092,320,1764,676,1192464
326,16,42,25,1050,320,1764,625,1102500
327,17,42,27,1134,320,1764,729,1285956
328,18,42,26,1092,320,1764,676,1192464
329,19,42,26,1092,320,1764,676,1192464
330,20,42,26,1092,320,1764,676,1192464
331,21,42,26,1092,320,1764,676,1192464
332,22,42,26,1092,320,1764,676,1192464
333,23,42,26,1092,320,1764,676,1192464
334,24,40,26,1040,320,1600,676,1081600
335,25,40,26,1040,320,1600,676,1081600
336,26,40,26,1040,320,1600,676,1081600
337,27,40,26,1040,320,1600,676,1081600
338,28,40,26,1040,320,1600,676,1081600
339,29,42,26,1092,320,1764,676,1192464
340,30,40,26,1040,320,1600,676,1081600
341,31,40,26,1040,320,1600,676,1081600
342,32,40,26,1040,320,1600,676,1081600
343,33,40,26,1040,320,1600,676,1081600
344,34,40,26,1040,320,1600,676,1081600
345,35,40,26,1040,320,1600,676,1081600
346,36,40,26,1040,320,1600,676,1081600
347,37,40,26,1040,320,1600,676,1081600
348,38,42,26,1092,320,1764,676,1192464
349,1,38,22,836,360,1444,484,698896
350,2,36,23,828,360,1296,529,685584
351,3,36,22,792,360,1296,484,627264
352,4,36,23,828,360,1296,529,685584
353,5,36,23,828,360,1296,529,685584
354,6,36,23,828,360,1296,529,685584
355,7,36,23,828,360,1296,529,685584
356,8,36,22,792,360,1296,484,627264
357,9,36,23,828,360,1296,529,685584
358,10,36,22,792,360,1296,484,627264
359,11,36,23,828,360,1296,529,685584
360,12,36,22,792,360,1296,484,627264
361,13,36,23,828,360,1296,529,685584
362,14,36,23,828,360,1296,529,685584
363,15,36,23,828,360,1296,529,685584
364,16,36,23,828,360,1296,529,685584
365,17,36,23,828,360,1296,529,685584
366,18,36,23,828,360,1296,529,685584
367,19,36,23,828,360,1296,529,685584
368,20,36,23,828,360,1296,529,685584
369,21,36,22,792,360,1296,484,627264
370,22,36,23,828,360,1296,529,685584
371,23,36,23,828,360,1296,529,685584
372,24,38,23,874,360,1444,529,763876
373,25,38,23,874,360,1444,529,763876
374,26,36,23,828,360,1296,529,685584
375,27,36,23,828,360,1296,529,685584
376,28,36,23,828,360,1296,529,685584
377,29,36,23,828,360,1296,529,685584
378,30,36,23,828,360,1296,529,685584
379,31,36,23,828,360,1296,529,685584
380,32,36,23,828,360,1296,529,685584
381,33,36,23,828,360,1296,529,685584
382,34,36,23,828,360,1296,529,685584
383,35,36,24,864,360,1296,576,746496
384,36,36,24,864,360,1296,576,746496
385,37,36,23,828,360,1296,529,685584
386,38,36,24,864,360,1296,576,746496
387,39,36,23,828,360,1296,529,685584
388,40,38,23,874,360,1444,529,763876
389,41,38,24,912,360,1444,576,831744
390,42,38,25,950,360,1444,625,902500
